,customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,SeniorCitizen,tenure,MonthlyCharges,TotalCharges
0,7590-VHVEG,Female,Yes,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,No,0.0,1.0,29.85,29.85
1,5575-GNVDE,Male,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,No,0.0,34.0,56.95,1889.5
2,3668-QPYBK,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,0.0,2.0,53.85,108.15
3,7795-CFOCW,Male,No,No,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),No,0.0,45.0,42.3,1840.75
4,9237-HQITU,Female,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,0.0,2.0,70.7,151.65
5,9305-CDSKC,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,0.0,8.0,99.65,820.5
6,1452-KIOVK,Male,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,0.0,22.0,89.1,1949.4
7,6713-OKOMC,Female,No,No,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,10.0,29.75,301.9
8,7892-POOKP,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,0.0,28.0,104.8,3046.05
9,6388-TABGU,Male,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),No,0.0,62.0,56.15,3487.95
10,9763-GRSKD,Male,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,0.0,13.0,49.95,587.45
11,7469-LKBCI,Male,No,No,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),No,0.0,16.0,18.95,326.8
12,8091-TTVAX,Male,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),No,0.0,58.0,100.35,5681.1
13,0280-XJGEX,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,0.0,49.0,103.7,5036.3
14,5129-JLPIS,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,0.0,25.0,105.5,2686.05
15,3655-SNQYZ,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No,0.0,69.0,113.25,7895.15
